"image","xmin","ymin","xmax","ymax","label"
"OIP-1zHoGzG2DuTuR0btWfS8igHaE8.jpeg",50.96546901893288,39.349160206718345,284.39651462994834,175.38961563307492,"chicken"
"OIP-2DJyMQtPudbkH28pc1PCowHaG7.jpeg",23.883256239242687,6.10773064108456,283.250860585198,260.0920697380515,"chicken"
"OIP-2-UK2DyeeNUtYuyH1lMJnAHaFL.jpeg",28.3327506454389,22.483012131449634,171.49311531841653,178.207347972973,"chicken"
"OIP-2CysOvCCiGpYktDJq7dsUAAAAA.jpeg",19.12867814781022,18.258360557083908,167.3606295620438,279.9249914030261,"chicken"
"OIP-2AW-Ey2pmwe-sVfbVAiXZAHaHa.jpeg",33.50029582616179,11.073311101549054,267.7663780120482,265.8784692340792,"chicken"
"OIP-2EpNl0p3BgEqPA1-yL2ZIQHaD4.jpeg",51.91345740103271,1.7369577508223686,271.9052549483649,157,"chicken"
"OIP-2GQJ61GPqJsOUg69-H9dgwHaFj.jpeg",45.25535176419966,47.426668219610086,216.56290339931155,189.89011432052752,"chicken"
"OIP-2HjGXr8hsCdkbUvRuNtgKgHaNK.jpeg",53.08783346036585,40.41115027510316,166.5799637957317,231.58796853507565,"chicken"
"OIP-2MgCoXLnISUM5YgWhZ-YTAHaE8.jpeg",96.86625968158349,23.350694444444443,265.7392964716007,186.3997900516796,"chicken"
"OIP-2PshZmHVWIHQ4kd0tQn7bwHaKK.jpeg",12.421212923728813,2.2905562242090785,198.84090307203388,281.42408872077027,"chicken"
"OIP-2PsBAARaQY8yrfE2oK37DAHaE8.jpeg",84.69973644578313,24.3156492248062,213.831890060241,183.2747900516796,"chicken"
"OIP-2QWoo_Jj2H5bExE4iUKqQQHaFw.jpeg",47.016189759036145,31.742456000554323,180.05324870912222,199.91955376940132,"chicken"
"OIP-2QWoo_Jj2H5bExE4iUKqQQHaFw.jpeg",184.14170073149742,10.041990022172948,280.10031196213424,203.42496708702882,"chicken"
"OIP-2Sv3e0Lfc_29imA3Zye0qwHaE_.jpeg",65.47372525817556,18.913283248081843,182.31833584337352,174.26778292838875,"chicken"
"OIP-2T2Diusj24nm1vBoKmHVhgHaHn.jpeg",23.892265490533564,7.115656407035175,278.47544642857144,284.5320351758794,"chicken"
"OIP-2U-rJLQ7buJi7sfnjNZl7QHaFj.jpeg",54.23502043889845,60.650578770068805,173.1510864888124,193.21423451834863,"chicken"
"OIP-2gpfEOEIetBWtosIFyXYTwHaGa.jpeg",20.831540447504302,41.959015376984134,279.3520062392427,249.7309027777778,"chicken"
"OIP-2cqlUfhKMre4d3anNXGJ3wHaEK.jpeg",104.657917383821,3.07063503440367,282.1899203958692,161.55456804281346,"chicken"
"OIP-2Xtx-sLEKhEmdmHjteE55QAAAA.jpeg",4.712678840361446,1.564096241694352,239.46371423192772,249.1544331395349,"chicken"
"OIP-2c7ROqFRnvlwkCz6yuv6XAHaFj.jpeg",153.6890867039587,78.89594681766054,257.3082508605852,168.43351311639907,"chicken"
"OIP-2c7ROqFRnvlwkCz6yuv6XAHaFj.jpeg",69.57831325301206,73.41286195527522,148.59415339931155,176.58355432912842,"chicken"
"OIP-2c7ROqFRnvlwkCz6yuv6XAHaFj.jpeg",247.7557551635112,65.50270570527522,300,171.31818018922016,"chicken"
"OIP-2h8auSr1bwht5ta592PmLQHaFP.jpeg",100.31532379518073,31.159872503026637,218.6565458261618,213.00000000000003,"chicken"
"OIP-2j7XZHENYUjFQqWMmpGQmwHaFj.jpeg",120.86045073149742,70.10890015768348,230.47816265060243,206.12972154529814,"chicken"
"OIP-2kEbd6RQhWShlc-iqedKtAHaFj.jpeg",29.78297117039587,1.4352780963302751,241.3638930722892,174.36008278383028,"chicken"
"OIP-2jlbrU52vKF21v2ASCjHTgHaFj.jpeg",70.41536682444062,22.146018491972477,232.88847353700515,208.37133565080273,"chicken"
"OIP-2lc7tpFI404OqX9xhR7-XwHaHY.jpeg",13.578420826161791,79.11929242227978,125.9695030120482,255.6762265220207,"chicken"
"OIP-2mmmW-CslXEcush0zDYrJQHaIL.jpeg",22.500860585197934,24.81047679407176,253.38339070567986,257.4761115444618,"chicken"
"OIP-2nbjhBG_cB-U-T2eSs94pwHaHa.jpeg",15.605502366609295,74.80031734079174,184.24456755593806,264.8901409208262,"chicken"
"OIP-2o1JeTlIo4uVws6EyM25VwHaFj.jpeg",96.85214070567987,12.149467818233944,244.69597138554218,191.412073537844,"chicken"
"OIP-2qdsOtllzmb4EEvxqLLHrwHaKu.jpeg",9.458209325396824,75.31593878954608,180.69742063492063,277.7327630674003,"chicken"
"OIP-2qfqwXTn_3NCnRQy0usrcgHaHY.jpeg",26.45290985370052,23.69625026986183,252.4190512048193,241.76549681563037,"chicken"
"OIP-2vJVf6lOOavv8vWXiqA8qQHaGp.jpeg",42.39928463855422,5.449541146833013,284.50543244406197,244.5032839491363,"chicken"
"OIP-2ytHpJPr6hU1kuRCHZ1IZwHaHa.jpeg",19.677818416523237,91.63820460413082,150.9399203958692,289.12637155765924,"chicken"
"OIP-2wnVq-Ixoj_sN-LedIOpowHaIX.jpeg",44.6922063253012,19.315362595419845,209.25216490963857,295.1890505725191,"chicken"
"OIP-2x1a0T4CZ_vJLx0wkFSNIgHaEj.jpeg",71.32704926850259,21.253764402932962,245.21837349397595,185.00000000000003,"chicken"
"OIP-2wAhEoChHIuVqo6PsPGi3wHaFb.jpeg",132.58323472461274,4.657973884976526,286.482089070568,167.64671361502346,"chicken"
